Title,Abstract,Journal,Publishing Date,DOI,Probability of Inclusion
Real-time management of intra-hospital patient transport requests,"This paper addresses the management of patients’ transportation requests within a hospital, a very challenging problem where requests must be scheduled among the available porters so that patients arrive at their destination timely and the resources invested in patient transport are kept as low as possible. Transportation requests arrive during the day in an unpredictable manner, so they need to be scheduled in real-time. To ensure that the requests are scheduled in the best possible manner, one should also reconsider the decisions made on pending requests that have not yet been completed, a process that will be referred to as rescheduling. This paper proposes several policies to trigger and execute the rescheduling of pending requests and three approaches (a mathematical formulation, a constructive heuristic, and a local search heuristic) to solve each rescheduling problem. A simulation tool is proposed to assess the performance of the rescheduling strategies and the proposed scheduling methods to tackle instances inspired by a real mid-size hospital. Compared to a heuristic that mimics the way requests are currently handled in our partner hospital, the best combination of scheduling method and rescheduling strategy produces an average 5.7 minutes reduction in response time and a 13% reduction in the percentage of late requests. Furthermore, since the total distance walked by porters is substantially reduced, our experiments demonstrate that it is possible to reduce the number of porters – and therefore the operating costs – without reducing the current level of service.",Health Care Management Science,2024-06-01,10.1007/s10729-024-09667-6,0.9467452841414088
Mobile healthcare service planning in rural areas: A hybrid record to record travel algorithm,"Due to the economic infeasibility of establishing comprehensive healthcare facilities in sparsely populated areas and the responsibility of governments to ensure equal healthcare access for citizens, different approaches have been sought in healthcare service delivery. The Republic of Turkiye's Ministry of Health provides mobile healthcare services (MHS) to 9 million people monthly through 3400 healthcare facilities and 7500 doctors. This study focuses on the Mobile Healthcare Service Routing and Scheduling Problem (MHS-RSP). The objective of MHS-RSP is to determine the daily routes of doctors on a monthly basis to minimize total distance traveled, taking into account constraints such as working hours, route time, minimum service time per visit, and dedicated doctor assignments to villages. A mixed-integer mathematical model is developed to address the problem, which is NP-hard and equivalent to the multi-depot time-constrained periodic vehicle routing problem. To solve medium- and large-sized problems efficiently, a hybrid metaheuristic algorithm named ""GCH-RRT"" is introduced, based on greedy constructive heuristic(GCH) and record-to-record travel(RRT) metaheuristic. The performance of the mathematical model and the GCH-RRT algorithm is compared with existing service plans in Ankara, resulting in a 15.6% improvement with the mathematical model and a 22.3% improvement with the GCH-RRT algorithm in total distance traveled.",Journal of the Faculty of Engineering and Architecture of Gazi University,2023-01-01,10.17341/gazimmfd.1218090,0.9466619197760816
Logistics outsourcing in the healthcare sector: Lessons from a Canadian experience,"Logistics activities are seen by many healthcare organizations as an opportunity for financial savings. The level of logistics complexity in these organizations may explain the challenges they face in applying solutions common in other industries. This case study of a medical-supply distribution outsourcing initiative to a logistics services provider by a group of hospitals in a region of Canada helps elucidate this complexity. The objective of this article is to identify the dissonances between various points of view in order to articulate lessons for managers while taking into account the specifics of the healthcare sector. By examining information from several sources, this study shows the necessity of: 1) setting objectives and managing expectations in order to maintain the interest and participation of stakeholders throughout the project; 2) updating internal logistics processes prior to outsourcing; 3) carefully considering a gradual transition phase by ensuring short-term benefits for both partners; 4) requiring problem-solving skills as a selection criterion for the logistics services provider to ensure continuous improvement in the performance of the outsourced activity; and 5) developing a governance accountability framework to support problem solving between all parties involved. Copyright © 2018 ASAC. Published by John Wiley & Sons, Ltd.",Canadian Journal of Administrative Sciences,2018-12-01,10.1002/cjas.1469,0.9406675577895525
Simheuristic and learnheuristic algorithms for the temporary-facility location and queuing problem during population treatment or testing events,"Epidemic outbreaks, such as the one generated by the coronavirus disease, have raised the need for more efficient healthcare logistics. One of the challenges that many governments have to face in such scenarios is the deployment of temporary medical facilities across a region with the purpose of providing medical services to their citizens. This work tackles this temporary-facility location and queuing problem with the goals of minimising costs, the expected completion time, population travel time, and waiting time. The completion time for a facility depends on the numbers assigned to those facilities as well as stochastic arrival times. This work proposes a learnheuristic algorithm to solve the facility location and population assignment problem. Firstly a machine learning algorithm is trained using data from a queuing model (simulation module). The learnheuristic then constructs solutions using the machine learning algorithm to rapidly evaluate decisions in terms of facility completion and population waiting times. The efficiency and quality of the algorithm is demonstrated by comparison with exact and simulation-only (simheuristic) methodologies. A series of experiments are performed which explore the trade-offs between solution cost, completion time, population travel time, and waiting time.",Journal of Simulation,2023-01-01,10.1080/17477778.2023.2166879,0.9281309766870462
Non-medical barriers in access to early steps of kidney transplantation in the United States – A scoping review,"Background: In the United States (US), barriers in access to later steps in the kidney transplantation process (i.e. waitlisting) have been well documented. Barriers in access to earlier steps (i.e. referral and evaluation) are less well described due to the lack of national surveillance data. In this review, we summarize the available literature on non-medical barriers in access to kidney transplant referral and evaluation. Methods: Following PRISMA guidelines, we conducted a scoping review of the literature through June 3, 2021. We included all studies (quantitative and qualitative) reporting on barriers to kidney transplant referral and evaluation in the US published from 1990 onwards in English and among adult end-stage kidney disease (ESKD) patients (PROSPERO registration number: CRD42014015027). We narratively synthesized results across studies. Results: We retrieved information from 33 studies published from 1990 to 2021 (reporting data between 1990 and 2018). Most studies (n = 28, 85%) described barriers among patient populations, three (9%) among provider populations, and two (6%) included both patients and providers. Key barriers were identified across multiple levels and included patient- (e.g. demographic, socioeconomic, sociocultural, and knowledge), provider- (e.g. miscommunication, staff availability, provider perceptions and attitudes), and system- (e.g. geography, distance to care, healthcare logistics) level factors. Conclusions: A multi-pronged approach (e.g. targeted and systemwide interventions, and policy change) implemented at multiple levels of the healthcare system will be necessary to reduce identified barriers in access to early kidney transplant steps. Collection of national surveillance data on these early kidney transplant steps is also needed to enhance our understanding of barriers to referral and evaluation.",Transplantation Reviews,2021-12-01,10.1016/j.trre.2021.100654,0.9278383701433125
Design principles for robot inclusive spaces: A case study with Roomba,"Research focus on service robots That deals with applications related To healthcare, logistics, residential, search and rescue are gaining significant momentum in The recent years. Their social and economic relevance is more Than evident. Yet, while much has been researched about 'designing robots' focusing on sensing, actuation, mobility and control of service robots, little work has been done on 'design for robots' That looks at designing preferred artefacts or environments for such robots. In This work, we propose a new philosophy of robot inclusive spaces, a cross disciplinary approach That brings Together roboticians, architects and designers To solve numerous unsettled research problems in robotics community Through design of inclusive interior spaces for robots where The latter live and operate. With a residential floor cleaning robot as a case study, we inductively derived a set of four design principles namely observability, accessibility, activity and safety That guides The realization of an inclusive space for These service robots. Also, The suggested principles are further defined, analysed and validated for Their merits in This paper.",Proceedings - IEEE International Conference on Robotics and Automation,2014-09-22,10.1109/ICRA.2014.6907681,0.9202529694127107
Intellectual property issues in artificial intelligence: Specific reference to the service sector,"Artificial intelligence (AI) has transformed almost every field of the service sector, such as finance, healthcare logistics, automotive and aviation. The innovative technologies can identify uneven patterns like spam filtering or payment deceit, and make aware businesses in actual time about questionable activities, hence are helpful in the growth of a market. These innovation and creation are protected under different forms of intellectual property (IP). However, the transformation from AI related inventions to AI lead inventions has raised substantial challenges to the existing IP infrastructure. This study aims at looking into different aspects of AI related IP protection with an elaborative analysis of the patenting trends through landscape analysis of AI in the service sector. It is observed that AI is playing a pivotal role in the transformation of the service sector due to its accelerating use. But the issues related to legal and ethical need to be addressed for effective utilisation of AI related invention and creation in the service sector.","International Journal of Technological Learning, Innovation and Development",2021-01-01,10.1504/IJTLID.2021.114920,0.9034206173389789
Using lean manufacturing and machine learning for improving medicines procurement and dispatching in a hospital,"Industry 4.0 concepts are defined around the use of new technologies for improving industrial companies according to scientific, technological and organizational aspects. Enterprise complex problems could be solved in this frame. Many methods and concepts presented in the literature are focused on these aspects. A new method is being developed in Icam Paris-Sénart around the idea that sustainability must be the kernel of “industry of the future”. Indeed, the framework proposed is a combination of the previous aspects with environmental, social and societal aspects. The actual situation of the planet is an encouragement to make all future transformations with sustainability as kernel. These concepts could be imported in healthcare logistics and transport area for solving specific problems of this domain. Icam (French Engineer school) and FEI University are collaborating for proposing to healthcare hospitals a new framework (healthcare logistics 4.0) for solving complex problems of this domain. This paper is focusing on how to improve medicines procurement and dispatching in a hospital. Indeed, the use of Artificial Intelligence in healthcare sector is growing up. Data treated and analyzed could give important insights for solving problems and improving the existing organization. As machine learning is already exploited in many production management problems (forecasting, storage, production, etc.), the idea is to use it for developing an aided tool in addition to a lean manufacturing classical approach. After presenting the real problem of medicines procurement and dispatching detected in healthcare hospitals, concepts of lean manufacturing and machine learning will be exposed. Then, the methodology proposed for solving the problem will be shown. An illustration will be given for validating concepts presented. Finally, the link with the global “Healthcare logistics 4.0” framework will be described.",Procedia Manufacturing,2019-01-01,10.1016/j.promfg.2020.01.189,0.9023032544369187
Six-Sigma Quality Management of Additive Manufacturing,"Quality is a key determinant in deploying new processes, products, or services and influences the adoption of emerging manufacturing technologies. The advent of additive manufacturing (AM) as a manufacturing process has the potential to revolutionize a host of enterprise-related functions from production to the supply chain. The unprecedented level of design flexibility and expanded functionality offered by AM, coupled with greatly reduced lead times, can potentially pave the way for mass customization. However, widespread application of AM is currently hampered by technical challenges in process repeatability and quality management. The breakthrough effect of six sigma (6S) has been demonstrated in traditional manufacturing industries (e.g., semiconductor and automotive industries) in the context of quality planning, control, and improvement through the intensive use of data, statistics, and optimization. 6S entails a data-driven DMAIC methodology of five steps - define, measure, analyze, improve, and control. Notwithstanding the sustained successes of the 6S knowledge body in a variety of established industries ranging from manufacturing, healthcare, logistics, and beyond, there is a dearth of concentrated application of 6S quality management approaches in the context of AM. In this article, we propose to design, develop, and implement the new DMAIC methodology for the 6S quality management of AM. First, we define the specific quality challenges arising from AM layerwise fabrication and mass customization (even one-of-a-kind production). Second, we present a review of AM metrology and sensing techniques, from materials through design, process, and environment, to postbuild inspection. Third, we contextualize a framework for realizing the full potential of data from AM systems and emphasize the need for analytical methods and tools. We propose and delineate the utility of new data-driven analytical methods, including deep learning, machine learning, and network science, to characterize and model the interrelationships between engineering design, machine setting, process variability, and final build quality. Fourth, we present the methodologies of ontology analytics, design of experiments (DOE), and simulation analysis for AM system improvements. In closing, new process control approaches are discussed to optimize the action plans, once an anomaly is detected, with specific consideration of lead time and energy consumption. We posit that this work will catalyze more in-depth investigations and multidisciplinary research efforts to accelerate the application of 6S quality management in AM.",Proceedings of the IEEE,2021-04-01,10.1109/JPROC.2020.3034519,0.8993960200823424
Robotics Systems and Healthcare Logistics,"Including waste management, warehousing, inventory management, equipment maintenance, sanitation, and transportation, healthcare logistics has focused on providing more innovative and value-added services in recent years. Therefore healthcare services should be examined and aligned with the objectives of the entire healthcare supply chain to meet the needs of both individuals and organizations. This will help to improve the supply chain performance so that reflects on the patient outcomes. Lack of efficient storage areas, increasing wages/salaries, and some activities that are conducted by healthcare employees manually are the priority areas that require solutions. According to studies in the field of health logistics, supply chain activities take more than the time spent on patient care. In addition, the logistics activities that have to be done manually by the health personnel leave a negative impression on the patients. Based on these, healthcare logistics should be improved in order to decrease the level of fatigue of healthcare personnel and create more time to interact with patients. Serving various tasks and purposes in many business sector, robots are preparing to become one of the most important technological innovations for healthcare industry. Nowadays, the robotics community is largely focused on developing the next generation of service and social robots. It is predicted that the use of robots in diagnostics, surgery, rehabilitation, patient care, disinfection and cleaning, medicine and food distribution, vital signs measurement, disease prevention, and disease management will increase performance in healthcare services. Among these, robots providing disinfection and logistics services are predicted to have the shortest-term impact.","Accounting, Finance, Sustainability, Governance and Fraud",2023-01-01,10.1007/978-981-99-1818-8_7,0.8989284198995496
Fractal-Based N-Environment Multi-Agent IoT System Reliability,"The tremendous growth of Internet of Things (IoT) systems and the popularity of distributed systems, which were brought back into fashion by containerisation, create new challenges for system maintenance. Each IoT-specific service is characterised by a specific domain, or environment, making the maintenance of distributed IoT systems with dozens of agents a challenging task. This paper proposes a fractal-based mathematical model, called the fractal multi-agent IoT system (FMAIS), for scalable multi-agent systems (e.g. cloud-native services, wide-scale IoT services). A reliability estimation model called the multi-environment enhanced real-time customer-oriented reliability estimation (ME-ERT-CORE) model is proposed as a method for estimating the reliability of a multi-agent IoT system, where each agent can be specified by its own domain-specific environment (e.g. healthcare, logistics, smart factories, etc.). An estimation of the time complexity of the FMAIS is performed, and a model called ME-ERT-CORE for estimating its reliability is formulated. The results show that the FMAIS can be used for real-time simulations of system behaviour and ME-ERT-CORE can be used for the real-time estimation of its reliability, monitoring purposes, and, for instance, quality of service (QoS) descriptions based on service level agreement (SLA) requirements. The conducted measurements show that the reliability of the FMAIS with 4 layers and 96 applications, where each application deploys 96 instances, can be computed in 8.022 milliseconds. With the proposed optimisation method, the reliability for the same FMAIS can be computed in 0.219 milliseconds, which is 36 times faster than the ME-ERT-CORE reliability evaluation based on the definition. An FMAIS with the aforementioned parameters can be simulated in 84.300 milliseconds.",IEEE Internet of Things Journal,2024-01-01,10.1109/JIOT.2024.3398406,0.8940365604370257
Factors impacting technology adoption in hospital bed logistics,"Purpose: The purpose of this paper is to refine and expand technology adoption theory for a healthcare logistics setting by combining the technology–organization–environment framework with a business process management (BPM) perspective. The paper identifies and ranks factors impacting the decision to implement instances of technologies in healthcare logistics processes. Design/methodology/approach: A multiple case study is carried out at five Danish hospitals to investigate the bed logistics process. A combined technology adoption and BPM lens is applied to gain an understanding of the reasoning behind technology adoption. Findings: A set of 17 factors impacting the adoption of technologies within healthcare logistics was identified. The impact factors perceived as most important to the adoption of technologies in healthcare logistics processes relate to quality, employee work conditions and employee engagement. Research limitations/implications: This paper seeks to understand how managers can use knowledge about impact factors to improve processes through technology adoption. The findings of this study provide insights about the factors impacting the adoption of technologies in healthcare logistics processes. Differences in perceived importance of factors enable ranking of impact factors, and prioritization of changes to be implemented. The study is limited to five hospitals, but is expected to be representative of public hospitals in developed countries and applicable to similar processes. Originality/value: The study contributes to the empirical research within the field of BPM and technology adoption in healthcare. Furthermore, the findings of this study enable managers to make an informed decision about technology adoption within a healthcare logistics setting.",International Journal of Logistics Management,2019-02-12,10.1108/IJLM-02-2017-0043,0.893653174622816
Measuring the performance of drug logistics: Application of a methodology to two case studies,"The work presents a methodological framework for the analysis of costs and benefits of innovation in healthcare logistics. The framework is applied to drug logistic models into two hospital sites with different systems. One hospital is characterized by the introduction of advanced technologies and the unit dose system for drugs distribution, while the other one is based on a traditional logistic system. The performance comparison is conducted according to four dimensions: quality, costs, benefits and patient safety. The unit dose system shows relevant advantages in terms of costs and patient safety. The introduction of logistic technologies implies organizational and cultural changes and a strong investment at the beginning, but the benefits in terms of efficiency and improvement of patient safety are relevant.",Mecosan,2010-04-01,,0.8890447964150175
