Title,Abstract,Journal,Publishing Date,DOI
Navigating uncertain distribution problem: a new approach for resolution optimization of transportation with several objectives under uncertainty,"Amidst uncertainty, decision-making in manufacturing becomes a central focus due to its complexity. This study explores complex transportation constraints and uses novel ways to guide manufacturers. The Multi-objective Stochastic Linear Fractional Transportation Problem (MOSLFTP) is a crucial tool for managing supply chains, manufacturing operations, energy distribution, emergency routes, healthcare logistics, and other related areas. It adeptly addresses uncertainty, transforming efficiency and effectiveness in several domains. Stochastic programming is the process of converting theoretical probabilities into concrete certainties. The artistic compromise programming technique acts as a proficient mediator, reconciling opposing objectives and enabling equitable decision-making. This novel approach also addresses the Multi-objective Stochastic Linear plus Linear Fractional Transportation Problem (MOSLPLFTP), which involves two interconnected issues. The effectiveness of these principles is clearly shown with the help of the LINGO® 18 optimization solver. This study uses a ranking method to compare the similar methods to solve the current problems. A meticulously designed example acts as a significant achievement, shedding light on our method in a practical setting. It serves as a distinctive instrument, leading manufacturers through the maze of uncertainty and assisting them in determining the most advantageous course of action. This journey involves subtle interactions between complexity and simplicity, uncertainty is overcome by decisiveness, and invention is predominant.",Frontiers in Mechanical Engineering,2024-01-01,10.3389/fmech.2024.1389791
Analysis of the availability of botulinum toxin type A in the treatment of children with spastic cerebral palsy in Ukraine: a survey of doctors,"In Ukraine, about 100,000 children suffer from nervous system disorders, with cerebral palsy (CP) being the leading cause of childhood disability. The European Registry of Children with Cerebral Palsy emphasizes the urgency of this problem. The objective: to analyze the supply, availability, and use of Botulinum toxin type A for the treatment of spastic cerebral palsy in children in Ukraine. Materials and methods. The study was conducted from October 2019 to December 2020, and it included monitoring the supply and availability of medicines, collecting quantitative and qualitative data from various sources, and interviewing 64 doctors. Results. This research highlights disparities in medicine supply satisfaction across Ukraine, with surveys of doctors indicating varying degrees of effectiveness in regions like Kyiv and Kharkiv compared to challenges in Zhytomyr and the Kyiv region. Key issues include surplus medicines, unethical distribution practices, and systemic inefficiencies such as lack of patient registries and insufficient funding. The findings suggest an urgent need for regulatory reforms, enhanced healthcare logistics, and infrastructure improvements to achieve equitable healthcare access nationwide. Conclusions. This study highlights significant challenges in delivering Botulinum toxin type A for spastic cerebral palsy in Ukraine, including systemic inefficiencies, funding shortages, and procurement delays. It emphasizes the need for policy reforms, improved communication, and digital information access to ensure equitable and efficient healthcare. Urgent improvements are advocated to address these issues and enhance patient care nationwide.",Family Medicine. European Practices,2024-01-01,10.30841/2786-720X.1.2024.300447
Enhancing COVID-19 vaccination and medication distribution routing strategies in rural regions of Morocco: A comparative metaheuristics analysis,"The optimization of the vaccination campaign and medication distribution in rural regions of Morocco conducted by the Ministry of Health can be significantly improved by employing metaheuristic algorithms in conjunction with a tour planning system. This research proposes the utilization of six metaheuristic algorithms: genetic algorithm, rat swarm optimization, whale optimization, spotted hyena optimizer, penguins search optimization, and particle swarm optimization, to determine the most efficient routes for equipped trucks carrying vaccines and medications. These algorithms consider critical field constraints, such as operating hours of vaccination centers, vaccine availability, and distances between centers while minimizing the overall journey duration. In addition, a comprehensive tour planning system is integrated into the optimization framework accounting for transportation costs such as fuel expenses and truck maintenance costs. By incorporating these factors, the Ministry of Health aims to achieve the maximum efficiency while minimizing the financial burden associated with the vaccination campaign in rural areas. The integration of metaheuristics and the tour planning system presents a robust and data-driven solution for the Ministry of Health to enhance the effectiveness of their vaccination and medication distribution campaigns in rural regions of Morocco. This approach not only minimizes costs but also improves overall efficiency by ensuring timely access to vaccines and medications for the rural population. The findings of this research contribute to the growing body of knowledge in the field of healthcare logistics optimization and provide valuable insights for policymakers and practitioners involved in similar campaigns worldwide.",Informatics in Medicine Unlocked,2024-01-01,10.1016/j.imu.2024.101467
Real-time management of intra-hospital patient transport requests,"This paper addresses the management of patients’ transportation requests within a hospital, a very challenging problem where requests must be scheduled among the available porters so that patients arrive at their destination timely and the resources invested in patient transport are kept as low as possible. Transportation requests arrive during the day in an unpredictable manner, so they need to be scheduled in real-time. To ensure that the requests are scheduled in the best possible manner, one should also reconsider the decisions made on pending requests that have not yet been completed, a process that will be referred to as rescheduling. This paper proposes several policies to trigger and execute the rescheduling of pending requests and three approaches (a mathematical formulation, a constructive heuristic, and a local search heuristic) to solve each rescheduling problem. A simulation tool is proposed to assess the performance of the rescheduling strategies and the proposed scheduling methods to tackle instances inspired by a real mid-size hospital. Compared to a heuristic that mimics the way requests are currently handled in our partner hospital, the best combination of scheduling method and rescheduling strategy produces an average 5.7 minutes reduction in response time and a 13% reduction in the percentage of late requests. Furthermore, since the total distance walked by porters is substantially reduced, our experiments demonstrate that it is possible to reduce the number of porters – and therefore the operating costs – without reducing the current level of service.",Health Care Management Science,2024-01-01,10.1007/s10729-024-09667-6
An Automated Enhancement System of Diabetic Retinopathy Fundus Image for Eye Care Facilities,"Examining retinal fundus images is compulsory for ophthalmologists to spot features of eye diseases. Some problems, including low contrast and blurred retinal fundus image, may seriously affect the diagnostic procedure, leading to misdiagnosis. Low quality of retinal fundus image makes recognition of features for Diabetic Retinopathy (DR) to be harder for the ophthalmologist. Moreover, there is a lack of eye care facilities infrastructure with ophthalmologists to serve multi-morbid DR patients in rural areas, specifically Malaysia. Hence, this research proposed the development of an automated enhancement system based on computer vision and the Artificial Intelligence (AI) field to improve the quality of fundus images captured. The DR Enhancement System (DRES) helps ophthalmologists in the screening aspect by improving the detection of aberrant fundus images. Several methods for improving the fundus image are utilized: Retinex, Contrast Limited Adaptive Histogram Equalization (CLAHE), and Low-light enhancement. Results show that all methods performed better when improving low-contrast and blurred images. This study contributes to the screening process of DR by improving the quality of the retinal fundus image. The developed AI-based system can also help to solve healthcare logistics problems of reaching DR patients in rural areas.",Communications in Computer and Information Science,2024-01-01,10.1007/978-981-99-9592-9_8
AI-Enabled Techniques for Intelligent Transportation System for Smarter Use of the Transport Network for Healthcare Services,"Although intelligent transportation systems (ITS) and e-healthcare are two different fields, they can be integrated to offer a seamless and efficient experience to patients, attendants, relatives, and other relevant individuals. ITS can play a crucial role in supporting healthcare services by optimizing the use of transportation networks for treatment and e-healthcare logistic purposes. The combination of ITS and e-healthcare can provide patients with better and more efficient healthcare while also improving the overall transport experience. The biggest challenge in this integration is addressing the existing issues of a complex transportation system. Traffic administration organizations worldwide face the challenge of managing road traffic and networks. ITS, being an excellent mix of data and correspondence systems, seems the best solution that could contribute toward an effective and safe logistic environment alongside the long-term feasibility of transportation systems. For quicker implementation of ITS, electronic media, hardware, programming tools, and automation are necessary. The support of specific specializations such as civil, electrical, mechanical, and industrial engineering might additionally contribute to ensuring that these technologies prove productive and supportive. The rapid advancement of artificial intelligence (AI) offers immense opportunities for enhancing the effectiveness of various areas and ventures, including the transportation sector. Recently, an advanced computational algorithm that imitates the human brain has been introduced by AI. The information, communications, and control (ICT) technology could also be utilized to make the transportation system more effective, smooth, and safety oriented. These steps will act as the base for the fusion of ITS and e-healthcare, which will assist in reducing the medical support response time to routine and critical patients and in further developing public interest in ITS-based healthcare support. A detailed perspective of AI-based ITS merging with e-healthcare is covered in this chapter.",Blockchain and Deep Learning for Smart Healthcare,2024-01-01,
Artificial Intelligence–Blockchain-Enabled–Internet of Things-Based Cloud Applications for Next-Generation Society,"Artificial intelligence (AI), blockchain technology, and Internet of Things (IoT) are three of the most rapidly evolving technologies in the current era. The integration of these technologies can provide significant benefits to cloud-based environments by enhancing security, privacy, and data management. This paper proposes an architecture that combines AI, blockchain, and IoT in a cloud-based environment. The proposed architecture provides a secure and reliable platform for data exchange and analysis, enabling the development of smart applications that can improve the efficiency, productivity, and quality of life. The architecture’s core components are the IoT sensors, AI algorithms, and blockchain technology, which ensure data security and privacy, immutability, and transparency. The proposed architecture can be used in various applications, such as healthcare, logistics, and smart cities. In summary, this chapter provides an overview of the benefits and challenges associated with the integration of AI, blockchain, and IoT and proposes a novel architecture that can leverage these technologies to improve cloud-based environments’ efficiency and security. This research work will discuss about futuristic technology and their role in respective fields in detail.",Automated Secure Computing for Next-Generation Systems,2024-01-01,
An alert and detection system for cyber-attacks on iot devices,"The internet of things (IoT) is still in its early stages, but it has sparked interest in a wide range of industries, including healthcare, logistics tracking, smart cities, and transportation. However, it is also vulnerable to a variety of serious network infiltration concerns. This chapter contributes to attack detection and alert system for IoT networks. This system provides alert and detection of cyber-attacks at the router level by configuring Rpi as a wireless router for IoT network. For the detection method, the authors used an anomaly-based approach that learns the packets in the network using deep learning. IoTID20 dataset is used for training the deep learning model. This model detects four kinds of attack: DoS, MITM, port scan, and scan. When the attack is detected, the user is alerted via e-mail and SMS. Copyright",Handbook of Research on Network-Enabled IoT Applications for Smart City Services,2023-09-26,10.4018/979-8-3693-0744-1.ch011
The COVID-19 pandemic and follow-up for shoulder surgery: The impact of a shift toward telemedicine on validated patient-reported outcomes,"Introduction: The emergence of COVID-19 and its ensuing restrictions on in-person healthcare has resulted in a sudden shift towards the utilization of telemedicine. The purpose of this study is to assess patient satisfaction and patient-reported outcome measures (PROMs) for individuals who underwent follow-up for shoulder surgery using telemedicine compared to those who received traditional in-person clinic follow-up. Methods: Patients who underwent either rotator cuff repair or total shoulder arthroplasty during a designated pre-COVID-19 (traditional clinic follow-up) or peri-COVID-19 (telemedicine follow-up) span of time were identified. PROMs including the American Shoulder and Elbow Surgeons standardized assessment form, the three-level version of the EQ-5D form, the 12-Item Short Form survey, and a modified version of a published telemedicine survey were administered to participants six months post-operatively via phone call. Results: Sixty patients agreed to participate. There was no significant difference between the pre-COVID-19 and peri-COVID-19 groups in patient satisfaction with their follow-up visit (p = 0.289), nor was there a significant difference in PROMs between the two groups. In total, 83.33% of the telemedicine group and 70.37% of the in-person clinic group preferred traditional in-person follow-up over telemedicine. Discussion: In a cohort of patients who underwent telemedicine follow-up for shoulder surgery during the COVID-19 pandemic, there was no difference in patient satisfaction and PROMs compared to traditional in-person clinic follow-up. This study indicates that while the majority of participants preferred face-to-face visits, patients were relatively satisfied with their care and had similar functional outcome scores in both groups, despite the large disruption in healthcare logistics caused by COVID-19.",Journal of Telemedicine and Telecare,2023-07-01,10.1177/1357633X21990997
Divide and Conquer: A Location-Allocation Approach to Sectorization,"Sectorization is concerned with dividing a large territory into smaller areas, also known as sectors. This process usually simplifies a complex problem, leading to easier solution approaches to solving the resulting subproblems. Sectors are built with several criteria in mind, such as equilibrium, compactness, contiguity, and desirability, which vary with the applications. Sectorization appears in different contexts: sales territory design, political districting, healthcare logistics, and vehicle routing problems (agrifood distribution, winter road maintenance, parcel delivery). Environmental problems can also be tackled with a sectorization approach; for example, in municipal waste collection, water distribution networks, and even in finding more sustainable transportation routes. This work focuses on sectorization concerning the location of the area’s centers and allocating basic units to each sector. Integer programming models address the location-allocation problems, and various formulations implementing different criteria are compared. Methods to deal with multiobjective optimization problems, such as the (Formula presented.) -constraint, the lexicographic, and the weighted sum methods, are applied and compared. Computational results obtained for a set of benchmarking instances of sectorization problems are also presented.",Mathematics,2023-06-01,10.3390/math11112553
Efficient estimation of a risk measure requiring two-stage simulation optimization,"This paper is concerned with the efficient estimation of the risk measure of a system where the estimation requires solving a two-stage simulation optimization problem. The first stage samples risk factors that specify a second stage simulation optimization problem. The second stage solves a simulation optimization problem and outputs the best performance of the system under the realized risk factors, which are then aggregated across all first stage samples to produce an estimate of the risk measure. Applications of such an estimation scheme arise frequently in important industries such as financial, healthcare, logistics, and manufacturing. Because a large number of first stage samples are typically needed, each of which requires solving a computationally expensive simulation optimization problem, the two-stage simulation optimization approach faces a major computational efficiency challenge. In response to this challenge, this paper proposes a sequential simulation budget allocation procedure that determines the allocation of simulation budget based on a score known as revised probability of sign change for each decision under each scenario. The consistency of the proposed procedure is proved and the computational efficiency gain of the proposed is demonstrated using both benchmark test functions and two test cases in the context of financial portfolio risk estimation and healthcare system resilience estimation.",European Journal of Operational Research,2023-03-16,10.1016/j.ejor.2022.06.028
The influence of supply chain immunity perceptions on COVID-19 vaccine willingness in supply chain professionals,"Purpose: This study examines the lack of confidence in the actions of the government and pharmaceutical companies during vaccine deployment. The authors introduce the concept of supply chain immunity. The authors test whether the perception of higher vaccine supply chain immunity leads to higher willingness to be vaccinated within the supply chain community. Design/methodology/approach: The authors utilize factor analysis and item response theory methods to develop a scale for measuring supply chain immunity. The original and psychometrically sound scale is tested via a structural equation model (SEM). Factor analysis and SEM use survey responses from two samples of 125 supply chain executives. Findings: SEM suggests that supply chain immunity perceptions are a strong predictor of overall supply chain confidence for COVID vaccines. Further, these perceptions, through supply chain confidence, indirectly impact individuals' self-reported willingness to personally accept a vaccine themselves. Originality/value: This paper presents the concept of supply chain immunity perceptions that have not been used in the medical supply chain literature. This paper presents a first-of-a-kind scale for supply chain immunity perceptions utilizing nascent methods and demonstrates the constructs impact on vaccine program confidence and public willingness to participate.",International Journal of Logistics Management,2023-01-18,10.1108/IJLM-03-2022-0111
Unlocking Solver Potential: A Framework for Analysis and Inter-Comparison of Optimisation Solvers,"Linear and mixed integer optimisation problems have demonstrated their strength in the field of (healthcare) logistics and supply chain management for years. However, real-world optimisation problems are complex in nature, and various mathematical programming solvers are leveraged to solve these problems today. With several advances in solver technologies in recent years, there has been growing interest in carrying out comparative evaluations of solvers for a range of applications. However, there appears a lack of guidance for decision makers to conduct solver performance assessment and inter-comparison. To address this gap, we aim to derive a framework of parameters deemed most relevant for evaluating and comparing different solvers for a given application. To this end, we perform a systematic literature review. The resulting parameters are classified into three core categories: performance metrics, stopping conditions, and performance enhancing elements of a solver.","International Conference on Information Systems, ICIS 2023: ""Rising like a Phoenix: Emerging from the Pandemic and Reshaping Human Endeavors with Digital Technologies""",2023-01-01,
Design an Indoor Positioning System Using ESP32 Ultra-Wide Band Module,"In recent years, Indoor Positioning Systems have always captivated a colossal repercussion on many end-user applications such as medical healthcare, logistic and warehouse, smart buildings, military, etc. In particular, indoor tracking often requires high accurate localization. However, positioning precision is restricted by various hindrances within the mise-en-scène, especially the Non-Line-Of-Sight context which affects signal dispersion and occlusions. The proliferation of numerous RF technologies, such as RFID, WiFi, Bluetooth or Zigbee, etc. facilitates users to detect an object’s location within a peculiar range. Consequently, in the scope of this paper, a short-range technology system is developed for indoor positioning. The system is exploited properly to trail an object equipped with a small tag using Ultra-Wide Band module as ESP32. For the exact localization of the matter, the method measures the running time of wave between the object and at least two receivers (called bilateration). Also, the model is validated through a good accordant comparison between simulation and experimental results.",Lecture Notes on Data Engineering and Communications Technologies,2023-01-01,10.1007/978-3-031-46573-4_35
Mobile healthcare service planning in rural areas: A hybrid record to record travel algorithm,"Due to the economic infeasibility of establishing comprehensive healthcare facilities in sparsely populated areas and the responsibility of governments to ensure equal healthcare access for citizens, different approaches have been sought in healthcare service delivery. The Republic of Turkiye's Ministry of Health provides mobile healthcare services (MHS) to 9 million people monthly through 3400 healthcare facilities and 7500 doctors. This study focuses on the Mobile Healthcare Service Routing and Scheduling Problem (MHS-RSP). The objective of MHS-RSP is to determine the daily routes of doctors on a monthly basis to minimize total distance traveled, taking into account constraints such as working hours, route time, minimum service time per visit, and dedicated doctor assignments to villages. A mixed-integer mathematical model is developed to address the problem, which is NP-hard and equivalent to the multi-depot time-constrained periodic vehicle routing problem. To solve medium- and large-sized problems efficiently, a hybrid metaheuristic algorithm named ""GCH-RRT"" is introduced, based on greedy constructive heuristic(GCH) and record-to-record travel(RRT) metaheuristic. The performance of the mathematical model and the GCH-RRT algorithm is compared with existing service plans in Ankara, resulting in a 15.6% improvement with the mathematical model and a 22.3% improvement with the GCH-RRT algorithm in total distance traveled.",Journal of the Faculty of Engineering and Architecture of Gazi University,2023-01-01,10.17341/gazimmfd.1218090
