Title,Abstract,Journal,Publishing Date,DOI,Label
Using lean manufacturing and machine learning for improving medicines procurement and dispatching in a hospital,"Industry 4.0 concepts are defined around the use of new technologies for improving industrial companies according to scientific, technological and organizational aspects. Enterprise complex problems could be solved in this frame. Many methods and concepts presented in the literature are focused on these aspects. A new method is being developed in Icam Paris-Sénart around the idea that sustainability must be the kernel of “industry of the future”. Indeed, the framework proposed is a combination of the previous aspects with environmental, social and societal aspects. The actual situation of the planet is an encouragement to make all future transformations with sustainability as kernel. These concepts could be imported in healthcare logistics and transport area for solving specific problems of this domain. Icam (French Engineer school) and FEI University are collaborating for proposing to healthcare hospitals a new framework (healthcare logistics 4.0) for solving complex problems of this domain. This paper is focusing on how to improve medicines procurement and dispatching in a hospital. Indeed, the use of Artificial Intelligence in healthcare sector is growing up. Data treated and analyzed could give important insights for solving problems and improving the existing organization. As machine learning is already exploited in many production management problems (forecasting, storage, production, etc.), the idea is to use it for developing an aided tool in addition to a lean manufacturing classical approach. After presenting the real problem of medicines procurement and dispatching detected in healthcare hospitals, concepts of lean manufacturing and machine learning will be exposed. Then, the methodology proposed for solving the problem will be shown. An illustration will be given for validating concepts presented. Finally, the link with the global “Healthcare logistics 4.0” framework will be described.",Procedia Manufacturing,01/01/2019,10.1016/j.promfg.2020.01.189,0
Making an Impact on Healthcare Logistics,"This handbook provides our take on optimization of logistics processes in healthcare and on the gap that exists between theory and practice. We will bridge that gap as all theoretical results presented in this book have actually been implemented in the healthcare domain. We are driven by a desire to improve the healthcare system, by effectively making an impact with Operations Research (OR). We discuss specific projects that have addressed major challenges for healthcare Operations Research. We present our solution approaches, our approaches to implement the results in practice, and the impact on healthcare organizations. In addition, we discuss the problems we encountered when implementing the results in practice and how we addressed them. In this introductory chapter, we discuss the ecosystem of our research center CHOIR (Center for Healthcare Operations Improvement & Research) and demonstrate how we have an impact on healthcare logistics.",International Series in Operations Research and Management Science,01/01/2021,10.1007/978-3-030-60212-3_1,1
Efficient estimation of a risk measure requiring two-stage simulation optimization,"This paper is concerned with the efficient estimation of the risk measure of a system where the estimation requires solving a two-stage simulation optimization problem. The first stage samples risk factors that specify a second stage simulation optimization problem. The second stage solves a simulation optimization problem and outputs the best performance of the system under the realized risk factors, which are then aggregated across all first stage samples to produce an estimate of the risk measure. Applications of such an estimation scheme arise frequently in important industries such as financial, healthcare, logistics, and manufacturing. Because a large number of first stage samples are typically needed, each of which requires solving a computationally expensive simulation optimization problem, the two-stage simulation optimization approach faces a major computational efficiency challenge. In response to this challenge, this paper proposes a sequential simulation budget allocation procedure that determines the allocation of simulation budget based on a score known as revised probability of sign change for each decision under each scenario. The consistency of the proposed procedure is proved and the computational efficiency gain of the proposed is demonstrated using both benchmark test functions and two test cases in the context of financial portfolio risk estimation and healthcare system resilience estimation.",European Journal of Operational Research,16/03/2023,10.1016/j.ejor.2022.06.028,1
Healthcare Logistics and Digital Transformation,"Due to the complex and diverse structure of the healthcare industry, the healthcare industry's logistics practices have lagged far behind sectors such as retail and manufacturing. Therefore, in today's increasingly competitive and risky environment, it is critical for hospitals to improve their logistics management performance, increase the efficiency of health services, and reduce costs. This chapter synthesizes the contributions of healthcare logistics, the impact of medical logistics on healthcare providers, types of healthcare logistics. Addition, this chapter enables us to capture the research challenges associated with the healthcare logistics process, pharma logistics and show how digitalization initiatives can address them.","Accounting, Finance, Sustainability, Governance and Fraud",01/01/2023,10.1007/978-981-99-1818-8_13,0
A case study: Application of network clock model to heterogeneous sensor networks,"A sensor network consists of sensor nodes that have sensing, computation and wireless communication capabilities. There are various sensor network applications, including disaster relief operations, environmental monitoring and control, precision agriculture, intelligent home and buildings, facility management, machine surveillance and preventive maintenance, medicine and healthcare, logistics, telematics, and others. Many of these applications share some basic functionalities, namely event detection, periodic measurement and tracking, all of which entail collecting and forwarding of event data. For the purposes of triggering an action, it is necessary to know when an event occurs. Certainly time is an essential factor in many sensor network applications. This paper proposes, based on a cast study, a network clock model application to heterogeneous sensor networks. The network clock model is a scheme by which a consistent notion of time can be shared among sensor networks’ devices in order to enable the combination of time and data for applications. This work serves to demonstrate the acquisition, keeping and distribution of standard time in a heterogeneous sensor network platform based on the network clock model.",Journal of Communications,01/07/2019,10.12720/jcm.14.7.587-592,1
A case study of collaborative communications within healthcare logistics,"Purpose: The purpose of this paper is to present a collaborative communications model developed during the conduct of a recent academic research study and provide information to healthcare supply chain managers and administrators. Design/methodology/approach: Using data collected from a case study involving healthcare supply chain managers in the United States Army, this work examines how collaborative communications is linked to healthcare supply chain management. The findings associated with this study may have many transferable applications to institutions beyond a military health services context. Findings: This paper presents the findings and conclusions ascertained during a case study of collaborative communications. Five emerging themes were identified and a management model was developed for the enhancement of healthcare supply chain operations. Emerging themes included synergy among organizations, stakeholders working together, enhancements in supply chain operations, a continuance of training for supply chain leaders, and commonalities among disparate levels of management. Practical implications: Healthcare is a continually evolving industry. Supply chain efficiency can be linked to potential cost savings and more efficient operations within healthcare organizations. By understanding a model related to communicating collaboratively, leaders begin to understand the need for partnering among internal and external stakeholders and creating more efficient practices and processes. While this discussion is directed specifically toward healthcare management, the principles are applicable across a wide array of industries. Social implications: Communicating effectively is never easy for any healthcare organization or staff. Whether isolated to key individuals or throughout the entire organization, leaders have an inherent responsibility to share information and set conditions for organizational success. Arguably, the critical path to success involves effective, collaborative communications across multiple echelons of management responsibilities. Originality/value: While there is a dearth of literature examining communications and collaboration among various industries, little information is directed specifically toward the management of healthcare organizations or supply chain operations. In an applied sense, this model provides healthcare supply chain managers with concepts related to communicating more effectively at both the individual and organizational levels. © Emerald Group Publishing Limited.",Leadership in Health Services,01/02/2011,10.1108/17511871111102526,1
Oral anticoagulant treatment: A cost-benefit study,"More than 1% of the population are on oral anticoagulant treatment (OAT), a figure which is growing by over 10% annually. The demand for the clinical and analytical services necessary for monitoring this treatment requires the assignment of significant economical and healthcare logistic resources. Comparative studies of the multiple control strategies (attending hospital, primary care or self-monitoring) should be set up, and should reflect not only the costs of their performance but also their clinical results, measures such as mortality and morbidity of thrombotic and haemorrhagic episodes that, have occurred and been avoided. During 2003,20,347 patients on OAT were monitored in 4 anticoagulation units of large national hospitals providing healthcare cover to 1,641,914 inhabitants, Thrombotic or haemorrhagic episodes were recorded and the same events that should have occurred, according to their pathologies, were calculated. Two hundred and ninety-nine thromboembolic complications occurred which led to 129 hospital admissions and there were 11 deaths. Serious haemorrhagic complications resulted in IBI hospital admissions and caused 20 deaths. The costs of OAT in the population attended (medication and their clinical/analytical monitoring) were estimated at €2,749,813,The healthcare costs (calculated according to the DRG of the pathologies) of the clinical complications which occurred were estimated at €1,068,259. The complications avoided were calculated at. more than 100 deaths, 1,044 cerebrovascular accidents and 583 thrombotic recurrences with estimated costs, in the acute intrahospital phase only, of greater than €5,000,000.",Revista de Administracion Sanitaria,01/07/2008,,1
"Intelligent Connectivity: AI, IoT, and 5G","Intelligent Connectivity: AI, IoT, and 5G delivers a comprehensive technological and economic analysis of intelligent connectivity and the integration of artificial intelligence, Internet of Things (IoT), and 5G. It covers a broad range of topics, including Machine-to-Machine (M2M) architectures, edge computing, cybersecurity, privacy, risk management, IoT architectures, and more. The book offers readers robust statistical data in the form of tables, schematic diagrams, and figures that provide a clear understanding of the topic, along with real-world examples of applications and services of intelligent connectivity in different sectors of the economy. Intelligent Connectivity describes key aspects of the digital transformation coming with the 4th industrial revolution that will touch on industries as disparate as transportation, education, healthcare, logistics, entertainment, security, and manufacturing. Readers will also get access to: A thorough introduction to technology adoption and emerging trends in technology, including business trends and disruptive new applications Comprehensive explorations of telecommunications transformation and intelligent connectivity, including learning algorithms, machine learning, and deep learning Practical discussions of the Internet of Things, including its potential for disruption and future trends for technological developmentIn-depth examinations of 5G wireless technology, including discussions of the first five generations of wireless techIdeal for telecom and information technology managers, directors, and engineers, Intelligent Connectivity: AI, IoT, and 5G is also an indispensable resource for senior undergraduate and graduate students in telecom and comp uter science programs.","Intelligent Connectivity: AI, IoT, and 5G",01/01/2021,10.1002/9781119685265,0
Modelling hospital materials management processes,"Materials management is an important issue for healthcare systems because it influences clinical and financial outcomes. Before selecting, adapting and implementing leading or optimized practices, a good understanding of processes and activities has to be developed. In real applications, the information flows and business strategies involved are different from hospital to hospital, depending on context, culture and available resources; it is therefore difficult to find a comprehensive and exhaustive description of processes, even more so a clear formalization of them. The objective of this paper is twofold. First, it proposes an integrated and detailed analysis and description model for hospital materials management data and tasks, which is able to tackle information from patient requirements to usage, from replenishment requests to supplying and handling activities. The model takes account of medical risk reduction, traceability and streamlined processes perspectives. Second, the paper translates this information into a business process model and mathematical formalization. The study provides a useful guide to the various relevant technology-related, management and business issues, laying the foundations of an efficient reengineering of the supply chain to reduce healthcare costs and improve the quality of care. © 2013 Iannoneet al.",International Journal of Engineering Business Management,01/01/2013,10.5772/56607,1
Logistics chain optimization and scheduling of hospital pharmacy drugs using genetic algorithms: Morocco case,"In recent years, the health sector has faced increasingly important challenges. Due to the economic crisis and competitions, hospitals are facing many issues affecting the supply chain, such as budget cuts or lack thereof as well as insufficient human resources. Although essential for an excellent service, logistics take up a considerable part of the budget as challenges need to be addressed such as delays in drugs delivery, transportation and storage conditions, routing and scheduling. As to governance, each hospital is assigned to a specific region, which cannot be defined due to political, demographic, or geographic issues. This paper focuses on multi-depot vehicle routing problem (MDVRP) in healthcare logistics to feed the hospital pharmacies. The idea is to apply MDVRP’s approach to the health sector, specifically hospital pharmacies. In this projection, hospitals are considered to present clients, and central pharmacies present deposits. This problem (the MDVRP) is known by this nature NP-hard. For that, the heuristic method was used as genetic algorithm to solve the problem. The paper is organized as follows, the first section discusses, compares, and proposes clustering methods for healthcare facilities with applying them on Moroccan hospitals case; the second section proposes a genetic algorithm to resolve the MDVRP with a simulation.",International Journal of Web-Based Learning and Teaching Technologies,01/03/2021,10.4018/IJWLTT.2021030104,1
An evaluation of the delivery of medicines using drones,"This study tests the impact of drone transportation on the quality of a medicine. Modelling the critical process parameters of drone flight, the effects of temperature and vibration on insulin were investigated using the pharmacopoeia methods. The medicine, Actrapid, (3.5 mg/mL of insulin), was flown by a quad-rotor drone. Insulin stored between −20 and 40◦C for 30 mins, and subjected to vibration (0–40 Hz, 25◦C, 30 mins) passed the pharmacopeia tests. Dynamic light scattering identified the active tetrameric and hexameric forms of insulin post testing. Vibration frequencies during drone flight were between 0.1 and 3.4 Hz. There was no evidence of visible insulin aggregates following the drone transportation. The differences in UV absorbance readings between flown Actrapid and controls were insignificant (p = 0.89). No adverse impact of drone transport on insulin was observed. This study provides supporting evidence that drone transportation of medicinal products containing insulin is feasible. The authors recommend that when considering the drone delivery of medicines five tests need to be applied. These tests must determine the safe flight time and range, the quality of the medicine post flight, the onboard conditions experienced by the medicine, the security of the drone supply chain and the effect of drone failure on both the medicine and the environment.",Drones,01/09/2019,10.3390/drones3030052,1
Logistical and structural challenges are the major obstacles for family medicine physicians’ ability to administer adult vaccines,"Purpose: This study was conducted to characterize the vaccination practices and challenges of family medicine physicians in Los Angeles County, California. Methods: The Los Angeles Academy of Family Physicians (LA AFP) sent out electronic surveys to all of their active members (N = 1121) between December 2017 and January 2018, and asked them to answer questions about themselves, their practice, their patient population, and their immunization practices and challenges. We then analyzed the results through basic statistical calculations and Pearson’s chi-squared tests. Results: Seventy-four people (6.6%) responded to the survey, and 75% of responders stated that they administer all Advisory Committee on Immunization Practices (ACIP) recommended vaccines. The lowest vaccine administration rates were for the high-dose influenza vaccine, which 66.2% (n = 49) of respondents reported to administer, followed by the meningococcal B vaccine (68.9%; n = 51). The respondents who belonged to practices with more than 11 providers, were part of a large hospital or healthcare system, had electronic medical records (EMRs), and used the California Immunization Registry (CAIR) were more likely to report to vaccinate. The number one responding physician-reported challenge to vaccination was limited time and resources to address patient resistance followed by vaccine cost and lack of infrastructure to store vaccines. Conclusions: In this pilot study, structural and logistical challenges appeared to make the biggest impact on adult vaccination for the responding family medicine physicians. Solutions addressing these challenges will help improve the adult immunization rates.",Human Vaccines and Immunotherapeutics,04/03/2019,10.1080/21645515.2018.1543524,1
Towards flexible process support on mobile devices,"Ubiquitous computing is considered as enabler for linking everyday life with information and communication technology. However, developing pervasive and mobile applications that provide personalized user assistance still constitutes a challenge. Mobile application scenarios are diverse and encompass domains like healthcare, logistics, and sales. For their support two fundamental technologies with increasing maturity are emerging: development frameworks for mobile devices and light-weight process engines. Their integrated use, however, is in a rather premature state. Generally, the use of a process engine for supporting mobile collaboration raises many challenging issues. This paper picks up some of these challenges and shows how we have coped with them in the MARPLE project. MARPLE targets at a tight integration of process management technology with mobile computing frameworks in order to enable mobile process support in advanced application scenarios. We give insights into the MARPLE architecture and its components. In particular, we introduce the MARPLE process engine, which enables light-weight as well as flexible process support on mobile devices. This will be key for mobile user assistance in advanced application scenarios. © 2011 Springer-Verlag Berlin Heidelberg.",Lecture Notes in Business Information Processing,01/01/2011,10.1007/978-3-642-17722-4_11,1
Pharmacy students' perspectives on the value of taking call during acute care practice experiences,"Objective. Determine graduates' perceptions of the benefits and limitations of taking call with the medicine team while in the experiential portion of the doctor of pharmacy (PharmD) degree program. Methods. Survey questionnaires were mailed to graduates who completed a medicine advanced pharmacy practice experience offering an on-call experience. Data collected included on-call requirements, participation, and perceptions of the benefits and limitations of participating in on-call activities. Results. Respondents generally agreed that they learned more about disease states and healthcare logistics during on-call experiences. Respondents also agreed it was a teambuilding experience and would encourage other students to take call. Conclusions. Taking call as a pharmacy student provides a unique opportunity to learn about disease states and build professional relationships with other healthcare professionals. This initial survey suggests that the perceived benefits of taking call outweigh the limitations, and that the experience incorporates professional development into pharmacy education.",American Journal of Pharmaceutical Education,01/01/2005,10.5688/aj690348,0
Healthcare logistics &amp; supply chain management in health industry of Indonesia based on the telemedicine,"The essential mission of logistics and supply chain management is to efficiently plan, organize, and coordinate the movement of goods from a point of origin to a point of consumption. Analyzing and aligning supply chain goals with a patient-first approach enables healthcare organizations to reduce costs while improving patient outcomes. With Patient Direct, a care delivery solution from HRS, this paper provides patients with the telehealth equipment they need when they need it by telemedicine. Telemedicine which is used interchangeably with the term telehealth is the remote delivery of healthcare to patients through information and communication technology, including communication between two or more health professionals who are not in the same location. Thus, it needs secure transmission of medical data through text, sound, image, or video. This system can be a tele-education, tele-monitoring, tele-consultation, or tele-intervention. Telemedicine has several benefits, both for health professionals and medical institution as well as for the patients, especially for the development of healthcare delivery in remote area and also to make interaction between healthcare professional faster. However, telemedicine still has lack of regulation in Indonesia. There is still no regulation about license for the health professional and safety of medical data. Ethical problems in telemedicine are also still an issue, especially about patient's confidentiality, and also it can weaken doctor-patients relationship. According code of ethics, a doctor must examine the patients first before making a diagnosis and treatment, which cannot be done with telemedicine. The lack of regulation and ethical consideration make telemedicine in Indonesia still has some problems and need a challenge for improvement.",International Journal of Supply Chain Management,01/01/2020,,0
Performance evaluation of FIWARE: A cloud-based IoT platform for smart cities,"As the Internet of Things (IoT) becomes a reality, millions of devices will be connected to IoT platforms in smart cities. These devices will cater to several areas within a smart city such as healthcare, logistics, and transportation. These devices are expected to generate significant amounts of data requests at high data rates, therefore, necessitating the performance benchmarking of IoT platforms to ascertain whether they can efficiently handle such devices. In this article, we present our results gathered from extensive performance evaluation of the cloud-based IoT platform, FIWARE. In particular, to study FIWARE's performance, we developed a testbed and generated CoAP and MQTT data to emulate large-scale IoT deployments, crucial for future smart cities. We performed extensive tests and studied FIWARE's performance regarding vertical and horizontal scalability. We present bottlenecks and limitations regarding FIWARE components and their cloud deployment. Finally, we discuss cost-efficient FIWARE deployment strategies that can be extremely beneficial to stakeholders aiming to deploy FIWARE as an IoT platform for smart cities.",Journal of Parallel and Distributed Computing,01/10/2019,10.1016/j.jpdc.2018.12.010,1
Simulation optimization for the inventory management of healthcare supplies,"This article covers the inventory management of healthcare supplies problem. Based on the mathematical programming model set out by [1], a causal model and a flow chart were developed to outline the simulation model, which was to be later applied to a highly specialized medical institution that performs high-risk heart surgery, such as catheterizations and angioplasties. With this simulation model, a purchases plan with 21 healthcare supplies was obtained that contemplates all the problem’s restrictions: purchasing policy (safety stock, available budget); the warehouse’s physical reality (warehouse capacity); characteristics of supplies (useful life, service level); and suppliers (price, capacity and size of lots or rounding value). Different indicators were also considered, such as service levels, costs of purchases, stockouts costs and inventory maintenance costs. The results obtained with the simulation model came very close to the mathematical programming results, but the computing times were considerably shorter.",International Journal of Simulation Modelling,01/06/2020,10.2507/IJSIMM19-2-514,0
Impacts of Losses Functions on the Quality of the Ultrasound Image by Using Machine Learning Algorithms,"During last decade, Artificial Intelligence (AI) has been able to reshape our life daily. Different areas were positively impacted by AI such as Healthcare, Logistic, etc. Medical imaging is one of the fields of healthcare in which AI was introduced to solve and overcome different problems. Challenges including image processing, signal processing, and data acquisition. In this paper, we deeply demonstrate the loss function as one of the main parameters that influence the quality of the ultrasound (US) image. Therefore, we introduce the main components of ultrasound systems form end-to-end perspective such as the data acquisition, the signal processing, and the image interpretation. Then, we present the losses functions as a critical performance metrics for the model validation. Metrics such as the Mean Absolute Error (MAE), Cross-Entropy loss function (CE), Dice Similarity Coefficient (DSC), and the Structural Similarity (SSIM). After that we present the adopted CNN model to generate ultrasound image. The excessive simulation results demonstrate that the selection of the loss function provides significant improvement in terms of image quality (e.g., contrast, CNR and SNR). Choosing simple loss functions such as mean square error helps to faster the convergence of the convolution neural network during the training process. However, for image quality enhancement, we propose the combination of different loss functions such structural similarity (SSIM) with Dice Similarity Coefficient (DSC).","2021 IEEE International Conference on Automatic Control and Intelligent Systems, I2CACIS 2021 - Proceedings",26/06/2021,10.1109/I2CACIS52118.2021.9495878,0
